starttime	seconds	ctime	dtime	ttime	wait
Fri May 13 16:45:59 2016	1463179559	36	1	37	1
Fri May 13 16:45:59 2016	1463179559	25	12	37	8
Fri May 13 16:45:58 2016	1463179558	35	2	37	2
Fri May 13 16:45:59 2016	1463179559	35	2	37	1
Fri May 13 16:45:58 2016	1463179558	35	2	37	2
Fri May 13 16:45:59 2016	1463179559	26	11	37	6
Fri May 13 16:45:59 2016	1463179559	35	2	37	2
Fri May 13 16:45:59 2016	1463179559	22	15	37	5
Fri May 13 16:45:59 2016	1463179559	26	11	37	6
Fri May 13 16:45:59 2016	1463179559	36	1	37	1
Fri May 13 16:45:58 2016	1463179558	36	2	37	2
Fri May 13 16:45:59 2016	1463179559	35	2	37	2
Fri May 13 16:45:59 2016	1463179559	25	12	37	8
Fri May 13 16:45:59 2016	1463179559	35	2	37	2
Fri May 13 16:45:59 2016	1463179559	33	4	37	1
Fri May 13 16:45:59 2016	1463179559	35	2	37	2
Fri May 13 16:45:59 2016	1463179559	36	2	37	2
Fri May 13 16:45:59 2016	1463179559	33	4	37	1
Fri May 13 16:45:59 2016	1463179559	34	3	37	3
Fri May 13 16:45:59 2016	1463179559	35	2	37	2
Fri May 13 16:45:59 2016	1463179559	35	3	37	3
Fri May 13 16:45:59 2016	1463179559	35	2	37	2
Fri May 13 16:45:59 2016	1463179559	36	2	37	2
Fri May 13 16:45:59 2016	1463179559	27	10	37	6
Fri May 13 16:45:59 2016	1463179559	32	6	37	4
Fri May 13 16:45:59 2016	1463179559	32	6	37	4
Fri May 13 16:45:59 2016	1463179559	35	2	37	2
Fri May 13 16:45:59 2016	1463179559	32	6	37	4
Fri May 13 16:45:59 2016	1463179559	36	1	37	1
Fri May 13 16:45:59 2016	1463179559	35	3	37	3
Fri May 13 16:45:58 2016	1463179558	36	2	38	1
Fri May 13 16:45:59 2016	1463179559	33	4	38	1
Fri May 13 16:45:59 2016	1463179559	27	10	38	5
Fri May 13 16:45:58 2016	1463179558	35	3	38	3
Fri May 13 16:45:59 2016	1463179559	35	3	38	3
Fri May 13 16:45:58 2016	1463179558	36	2	38	1
Fri May 13 16:45:59 2016	1463179559	35	2	38	2
Fri May 13 16:45:59 2016	1463179559	35	2	38	2
Fri May 13 16:45:59 2016	1463179559	31	7	38	4
Fri May 13 16:45:59 2016	1463179559	28	10	38	5
Fri May 13 16:45:59 2016	1463179559	36	2	38	2
Fri May 13 16:45:59 2016	1463179559	34	4	38	3
Fri May 13 16:45:59 2016	1463179559	35	3	38	2
Fri May 13 16:45:59 2016	1463179559	29	8	38	3
Fri May 13 16:45:59 2016	1463179559	19	19	38	17
Fri May 13 16:45:59 2016	1463179559	31	7	38	4
Fri May 13 16:45:59 2016	1463179559	36	2	38	2
Fri May 13 16:45:59 2016	1463179559	29	8	38	3
Fri May 13 16:45:59 2016	1463179559	28	10	38	5
Fri May 13 16:45:59 2016	1463179559	31	7	38	2
Fri May 13 16:45:59 2016	1463179559	35	3	38	3
Fri May 13 16:45:59 2016	1463179559	35	3	38	3
Fri May 13 16:45:58 2016	1463179558	36	2	38	2
Fri May 13 16:45:58 2016	1463179558	36	1	38	1
Fri May 13 16:45:59 2016	1463179559	34	3	38	3
Fri May 13 16:45:59 2016	1463179559	35	3	38	3
Fri May 13 16:45:58 2016	1463179558	36	1	38	1
Fri May 13 16:45:59 2016	1463179559	28	10	38	5
Fri May 13 16:45:59 2016	1463179559	30	8	38	3
Fri May 13 16:45:59 2016	1463179559	36	2	38	2
Fri May 13 16:45:59 2016	1463179559	28	10	38	5
Fri May 13 16:45:58 2016	1463179558	37	1	38	1
Fri May 13 16:45:59 2016	1463179559	35	3	38	3
Fri May 13 16:45:59 2016	1463179559	35	3	38	3
Fri May 13 16:45:59 2016	1463179559	29	9	38	4
Fri May 13 16:45:59 2016	1463179559	32	6	38	4
Fri May 13 16:45:59 2016	1463179559	32	6	38	4
Fri May 13 16:45:59 2016	1463179559	31	7	38	4
Fri May 13 16:45:58 2016	1463179558	37	1	38	1
Fri May 13 16:45:58 2016	1463179558	36	2	38	2
Fri May 13 16:45:59 2016	1463179559	29	9	38	4
Fri May 13 16:45:59 2016	1463179559	31	7	38	4
Fri May 13 16:45:58 2016	1463179558	37	2	38	2
